"","id","logradouro","numero","cep","localidade","municipio","code_muni","estado","lat","lon","tipo_resultado","precisao"
"1",1,"Rua Maria Lucia Pacifico",17,"26042-730","Santa Rita","Nova Iguacu",3303500,"RJ",-22.695,-43.471,"en01","numero"
"2",2,"Rua Leopoldina Tome",46,"25030-050","Centenario","Duque de Caxias",3301702,"RJ",-22.779,-43.311,"en01","numero"
"3",3,"Rua Dona Judite",0,"23915-700","Caputera II","Angra dos Reis",3300100,"RJ",-22.979,-44.208,"er01","logradouro"
"4",4,"Rua Alexandre Amaral",0,"23098-120","Santissimo","Rio de Janeiro",3304557,"RJ",-22.869,-43.511,"er01","logradouro"
"5",5,"Avenida E",300,"23860-000","Praia Grande","Mangaratiba",3302601,"RJ",-22.93,-43.972,"en01","numero"
"6",6,"Rua Princesa Isabel",263,NA,"Estacao Experimental","Rio Branco",1200401,"AC",-9.963,-67.836,"en03","numero"
"7",7,"Caminho sem denominaca",2530,"69980-000","Miritizal","Cruzeiro do Sul",1200203,"AC",-7.647,-72.658,"ec01","cep"
"8",8,"Rua do Limão",268,NA,NA,"Rio Branco",1200401,"AC",-9.941,-67.857,"en04","numero"
"9",9,"Rua Geraldo Mesquita",0,"69918-202","Nova Estacao","Rio Branco",1200401,"AC",-9.962,-67.831,"er01","logradouro"
"10",10,"Avenida Castelo Branco",3874,"69925-000","Democracia","Senador Guiomard",1200450,"AC",-10.168,-67.721,"ei01","numero_aproximado"
"11",11,"Rua Lucio Marinho Crus",91,"57180-000","Centro","Barra de Sao Miguel",2501708,"AL",-9.842,-35.901,"ec01","cep"
"12",12,"Conjunto Gislene Mateus",12,"57160-000","Taperagua","Marechal Deodoro",2704708,"AL",-9.732,-35.903,"en01","numero"
"13",13,"Rua Maria Lucia Pacifico",21,"26042-730",NA,"Nova iguacu",3303500,"RJ",-22.695,-43.471,"ei02","numero_aproximado"
"14",14,"Rua Princesa Isabel",262,NA,"Estacao Experimental","Rio Branco",1200401,"AC",-9.963,-67.836,"ei03","numero_aproximado"
"15",15,"Rua Francisco de Holanda",9,"57073-735","Cidade Universitaria","Maceio",2704302,"AL",-9.535,-35.754,"en01","numero"
"16",16,"Rua Maria Lucia Pacifico",20,"26042-730",NA,"Nova iguacu",3303500,"RJ",-22.695,-43.472,"en02","numero"
"17",17,"Rua Lucio Marinho Crus",91,NA,NA,"Barra de Sao Miguel",2501708,"AL",-9.834,-35.897,"em01","municipio"
"18",18,NA,NA,NA,NA,"Rio Branco",1200401,"Acre",-9.976,-67.833,"em01","municipio"
"19",19,"Rua Rui Barbosa",109,NA,NA,"Rio Branco",1200401,"Acre",-9.974,-67.813,"ei04","numero_aproximado"
"20",20,"Rua Rui Barbosa",NA,NA,NA,"Rio Branco",1200401,"Acre",-9.973,-67.811,"er04","logradouro"
"21",21,NA,NA,NA,"Copacabana","Rio de Janeiro",3304557,"Rio de Janeiro",-22.972,-43.187,"eb01","localidade"
"22",22,NA,NA,"22280-005","Botafogo","Rio de Janeiro",3304557,"RJ",-22.953,-43.184,"ec01","cep"
"23",23,NA,NA,"22280-005",NA,"Rio de Janeiro",3304557,"RJ",-22.953,-43.184,"ec02","cep"
"24",24,"Rua Leopoldina Tome",NA,"25030-050","Centenario","Duque de Caxias",3301702,"RJ",-22.775,-43.311,"er01","logradouro"
"25",25,"Rua Leopoldina Tome",46,"25030-050",NA,"Duque de Caxias",3301702,"RJ",-22.779,-43.311,"en02","numero"
"26",26,"Conjunto Gislene Mateus",NA,"57160-000",NA,"Marechal Deodoro",2704708,"Alagoas",-9.732,-35.903,"er02","logradouro"
"27",27,"Rua Maria Lucia Pacifico",NA,NA,"Santa rita","Nova Iguacu",3303500,"RJ",-22.695,-43.471,"er03","logradouro"
"28",28,"Rua israel pinheiro",230,"35900246","Alto pereira","itabira",3131703,"MG",-19.63,-43.233,"ei01","numero_aproximado"
"29",29,"Rua parana",40,"35900000","centro","ouro preto",3146107,"mg",-20.374,-43.556,"eb01","localidade"
